"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"HR Shokeen","Batsman",5,66,101.54,22,5,9.24,2e+05,20000,0.02,0
"HV Patel","All rounder",41,270,117.9,10.8,151,8.86,97146723.6984947,9714672.36984947,9.71,0.97
"Harbhajan Singh","All rounder",88,824,137.56,16.16,150,7.08,105452520.818704,10545252.0818704,10.55,1.05
"Harmeet Singh","Bowler",4,18,150,9,27,7.99,31887220.6979351,3188722.06979351,3.19,0.32
"Harpreet Brar","All rounder",26,244,120.2,20.33,35,8.03,23436320.6630192,2343632.06630192,2.34,0.23
"Harpreet Singh","Batsman",8,119,100.85,19.83,0,9.29654545454545,2e+05,20000,0.02,0
"Harshit Rana","Bowler",10,59,107.27,9.83,40,9.51,31169913.5018945,3116991.35018945,3.12,0.31
"I Malhotra","Batsman",1,7,175,7,0,23,79931185.0917564,7993118.50917564,7.99,0.8
"I Sharma","Bowler",21,57,82.61,9.5,96,8.38,50125042.3758318,5012504.23758318,5.01,0.5
"I Udana","Batsman",4,15,136.36,5,8,9.72,26403494.7512319,2640349.47512319,2.64,0.26
"IC Pandey","Batsman",1,0,0,0,18,7.68,2e+05,20000,0.02,0
"IK Pathan","All rounder",82,1149,121.33,23.45,80,7.78,66547372.1212011,6654737.21212011,6.65,0.67
"IR Jaggi","Batsman",7,76,78.35,15.2,0,9.29654545454545,2e+05,20000,0.02,0
"IS Sodhi","Batsman",2,7,41.18,3.5,9,6.7,2e+05,20000,0.02,0
"Imran Tahir","Bowler",8,33,89.19,8.25,82,7.76,42759112.8556312,4275911.28556312,4.28,0.43
"Iqbal Abdulla","Bowler",13,87,106.1,87,40,7.23,2e+05,20000,0.02,0
"Ishan Kishan","Batsman",112,2989,137.81,29.59,0,24,124818658.79196,12481865.879196,12.48,1.25
"J Arunkumar","Batsman",3,23,100,7.67,0,9.29654545454545,7072774.25862829,707277.425862829,0.71,0.07
"J Botha","All rounder",28,408,113.97,20.4,25,6.92,15871244.8101953,1587124.48101953,1.59,0.16
"J Fraser-McGurk","Batsman",15,379,198.43,27.07,0,9.29654545454545,31599557.1819338,3159955.71819338,3.16,0.32
"J Overton","Batsman",2,15,214.29,7.5,0,13.83,59487778.3497872,5948777.83497872,5.95,0.59
"J Suchith","Batsman",9,70,114.75,17.5,19,8.6,13077626.3183502,1307762.63183502,1.31,0.13
"J Syed Mohammad","Batsman",5,29,111.54,14.5,8,8.84,8277093.05400315,827709.305400315,0.83,0.08
"J Theron","Batsman",4,10,83.33,5,11,8.2,5659752.62902217,565975.262902217,0.57,0.06
"J Yadav","Batsman",4,40,111.11,20,8,6.85,2e+05,20000,0.02,0
"JA Morkel","All rounder",67,967,141.58,25.45,85,8.21,71357892.013867,7135789.2013867,7.14,0.71
"JA Richardson","Batsman",3,17,65.38,5.67,3,10.47,3328064.59870856,332806.459870856,0.33,0.03
"JC Archer","All rounder",30,249,143.93,13.83,59,7.89,48797474.1702306,4879747.41702306,4.88,0.49
"JC Buttler","Batsman",119,4097,149.04,41.38,0,9.29654545454545,93003873.0922965,9300387.30922965,9.3,0.93
"JD Ryder","Batsman",29,596,130.99,22.07,8,7.7,17925077.1448253,1792507.71448253,1.79,0.18
"JD Unadkat","Bowler",27,197,118.67,15.15,110,8.88,69914652.88994,6991465.288994,6.99,0.7
"JDP Oram","Batsman",11,106,99.07,13.25,9,8.84,7670484.00619971,767048.400619971,0.77,0.08
"JDS Neesham","Batsman",10,92,98.92,11.5,8,9.28,9683698.35296962,968369.835296962,0.97,0.1
"JE Root","Batsman",1,10,66.67,10,0,7,2e+05,20000,0.02,0
"JE Taylor","Batsman",2,3,100,1.5,6,8.05,10259309.6391969,1025930.96391969,1.03,0.1
